SNo,Class Name,GPT3 discription
20,bench pressing,"

Bench pressing is an exercise performed by humans in which a person lies on a flat bench and presses a weight upwards with their arms. It is a compound exercise that works multiple muscle groups, including the chest, shoulders, triceps, and core. Bench pressing is a popular exercise for strength training"
21,bending back,"

Bending back is an action performed by humans in which the body is bent backwards, usually at the waist. This action can be done for various reasons, such as stretching the back muscles, increasing flexibility, or as part of a physical exercise."
22,bending metal,"

Bending metal is a process of reshaping a metal object by applying pressure to it. This action is usually performed by a human using a hammer or other tool to shape the metal into the desired shape. This process is used in a variety of applications including metalworking, automotive repair, and"
23,biking through snow,"

Biking through snow can be an exhilarating and challenging experience. It requires a great deal of skill and concentration, as the snow and ice make the terrain slippery and unpredictable. Biking through snow can be dangerous, so it is important to wear protective gear and to take extra precautions such as"
24,blasting sand,"

Blasting sand is a type of abrasive material used in sandblasting, a process that involves propelling sand at high speeds through a nozzle in order to clean, smooth, or otherwise shape a surface. Sandblasting is commonly used to remove paint, rust, and other substances from"
25,blowing glass,"

Blowing glass is an art form that involves heating up glass until it is malleable and then using a variety of tools and techniques to shape the glass into a desired form. The glassblower will use a furnace to heat the glass until it is soft and pliable. They will"
26,blowing leaves,"

Blowing leaves is an action performed by humans to remove leaves from lawns, gardens, and other areas. It is typically done using a leaf blower, which is a handheld device that uses a powerful motor to create a stream of air that can blow leaves away. In some cases,"
27,blowing nose,"

Blowing one's nose is an action performed by humans to clear their nasal passages of mucus, allergens, and other irritants. It is usually done by pinching one's nostrils together and forcing air through them with a quick exhale. This action can be done with a"
28,blowing out candles,"

Blowing out candles is an action performed by humans to extinguish lit candles. This action is typically done when celebrating a special occasion, such as a birthday or anniversary. To perform this action, one takes a deep breath and blows out the candles with a single exhale."
29,bobsledding,"

Bobsledding is an action sport performed by teams of two to four people. It involves a person or team riding a sled down a narrow, twisting, banked, iced track in a gravity-powered vehicle. The goal is to finish the course as quickly as possible. Bob"
30,bookbinding,"

Bookbinding is the process of physically assembling a book from an ordered stack of paper sheets that are folded together into sections or signatures. It involves the application of various adhesives and other materials to the paper sheets, such as cloth, leather, and boards, to create a durable and attractive"
31,bouncing on trampoline,"

Bouncing on a trampoline is an activity that involves jumping up and down on a trampoline in order to reach a height that is higher than the surface of the trampoline. It is a fun and exciting way to exercise, as it works several different muscle groups and can"
32,bowling,"

Bowling is a sport and recreational activity in which a player rolls a ball down a lane in an attempt to knock down pins at the end of the lane. The pins are arranged in a triangle pattern, and the player must try to knock them all down in one turn. Bowling can be"
33,braiding hair,"

Braiding hair is a hairstyling technique in which three or more strands of hair are interlaced together. It is a popular styling choice for many people, especially women and girls, as it can be used to create a variety of looks. Braiding hair is usually done using the"
34,breading or breadcrumbing,"

Breading or breadcrumbing is a cooking technique used to prepare food by coating it with breadcrumbs. This is usually done by first dipping the food in a liquid such as milk, egg, or water, then rolling it in breadcrumbs. This technique is often used to coat"
35,breakdancing,"

Breakdancing is a physical activity that involves intricate body movements, spins, flips, and other acrobatic maneuvers. It is typically performed to music with a strong beat and is often seen in hip-hop and street dance culture. Breakdancing is characterized by its fast-paced,"
36,brush painting,"

Brush painting is an action performed by humans that involves the application of paint to a surface with a brush. It can involve the use of a variety of brush types, such as round, flat, fan, and bristle brushes, as well as a variety of painting techniques, such as"
37,brushing hair,"

Brushing hair is an action performed by humans to keep their hair looking neat and healthy. It involves using a brush to comb through the hair, removing dirt and debris while also helping to spread natural oils throughout the hair shaft. It can also help to detangle and smooth the hair, making"
38,brushing teeth,"

Brushing teeth is an action performed by humans to clean their teeth and remove plaque and food particles from the surface of the teeth. It is typically done twice a day with a toothbrush, toothpaste, and water. The action of brushing helps to remove bacteria and prevent tooth decay, bad"
39,building cabinet,"

Building a cabinet is a process of constructing a storage unit with shelves, drawers, and doors. It involves measuring, cutting, and assembling wood and other materials to create a functional and attractive piece of furniture. This may include using tools such as saws, drills, hammers, and"
40,building shed,"

Building a shed is the process of constructing a small outdoor structure for storage or shelter. It involves gathering the necessary materials, such as lumber, screws, nails, and other hardware; cutting and assembling the pieces of wood; and securing the structure together with nails, screws, and other fasteners"
41,bungee jumping,"

Bungee jumping is an extreme sport in which an individual jumps from a tall structure such as a bridge or crane, while connected to a large elastic cord. The thrill of the jump comes from the free-fall and the rebound. Bungee jumping is an exhilarating experience that can be"
42,busking,"

Busking is an action performed by humans, usually musicians, who perform in public places for donations or tips. The performer usually sets up a spot in a public area, such as a street corner, park, or plaza, and plays music or performs an act for passersby. Depending on"
43,canoeing or kayaking,"

Canoeing or kayaking is an outdoor recreational activity that involves propelling a boat with a paddle, usually in a sitting or kneeling position. It is usually done on calm, slow-moving bodies of water such as rivers, lakes, and canals. It can also be done in"
44,capoeira,"

Capoeira is an Afro-Brazilian martial art that combines elements of dance, acrobatics, and music. It is a highly technical art form that is performed by two people in a “roda” (circle) surrounded by other participants. It is characterized by"
45,carrying baby,"

Carrying a baby is an action performed by humans to transport a baby from one place to another, or to provide comfort and security. It can be done by cradling a baby in the arms, or by using a baby carrier or sling. Carrying a baby helps to promote"
46,cartwheeling,"

Cartwheeling is an acrobatic movement performed by humans in which the body is propelled into the air by a single leg and then lands on the hands with the other leg extended in the air. It requires a great deal of strength, flexibility, and balance, as well as coordination and"
47,carving pumpkin,"

Carving a pumpkin is an action performed by humans to create a decorative or festive object. It involves cutting a hole in the top of a pumpkin and then removing the insides, such as the seeds and pulp. After this, a design is carved into the pumpkin's rind, typically"
48,catching fish,"

Catching fish is an action performed by humans that involves the use of fishing equipment such as rods, reels, hooks, lines, and bait to capture fish from bodies of water. It can be done for recreational purposes, such as sport fishing, or for food, such as subsistence fishing"
49,catching or throwing baseball,"

Catching and throwing baseball is an action performed by humans that involves the use of the hands and arms to catch and throw a baseball. To catch a baseball, the player must position their body in front of the ball and use their hands to secure the ball. To throw a baseball, the"
50,catching or throwing frisbee,"

Catching or throwing a frisbee is an action performed by humans that requires skill and coordination. It involves throwing a frisbee in the air and then catching it with your hands or using a special technique to throw it and have it land on a specific spot. Throwing a fr"
51,catching or throwing softball,"

Catching and throwing softball is an action performed by humans that involves the use of hand-eye coordination and physical strength. To catch a softball, the player must position their body in the right spot and use their hands to catch the ball. To throw a softball, the player"
52,celebrating,"

Celebrating is an action performed by humans to mark a special event or occasion. It usually involves gathering with friends and family, and may include activities such as singing, dancing, eating, drinking, and exchanging gifts. Celebrations can also be religious or cultural in nature, and may involve"
53,changing oil,"

Changing oil is an action performed by humans to maintain their vehicle's engine. This process involves draining the old oil from the engine, replacing the oil filter, and adding new oil. It is important to regularly change the oil to ensure the engine remains in good condition and runs properly."
54,changing wheel,"

Changing a wheel is an action performed by a human to replace a flat or damaged tire on a vehicle. This action involves jacking up the vehicle, removing the damaged tire, replacing it with a new one, and then tightening the lug nuts to secure the wheel in place."
55,checking tires,"

Checking tires is an important maintenance activity that should be performed regularly by human drivers. It involves inspecting the condition of the tires, including the treads, sidewalls, and pressure. The treads should be checked for signs of wear or damage, the sidewalls should be inspected for cracks"
56,cheerleading,"

Cheerleading is an action performed by people, usually involving organized chanting, clapping, and dancing, used to support a sports team or other group. It is often performed in response to a successful play or other event, and can also be used to encourage team spirit and camarader"
57,chopping wood,"

Chopping wood is an action performed by humans to reduce larger pieces of wood into smaller, more manageable sizes. It is usually done with an axe or maul, and requires skill and strength to do it effectively. Chopping wood can be used for a variety of purposes, such as fire"
58,clapping,"

Clapping is a physical action performed by humans in which two hands are brought together repeatedly in a quick, sharp motion. It is typically used to show appreciation, enthusiasm, or excitement, but can also be used to punctuate a joke, express agreement, or to emphasize a point."
59,clay pottery making,"

Clay pottery making is a creative art form that has been practiced by humans for centuries. It involves the shaping and forming of clay into a desired shape, and then firing the clay in a kiln to harden it. The process of making pottery can be both physically and mentally"
60,clean and jerk,"

Clean and jerk is an explosive weightlifting exercise that involves two distinct movements. It begins with a clean, in which the lifter pulls the barbell from the floor to the shoulders in one swift motion. This is followed by a jerk, in which the lifter quickly dips and then drives"
61,cleaning floor,"

Cleaning a floor is a physical action performed by a person to remove dirt, debris, and other contaminants from a floor surface. This can be done using a variety of tools such as a broom, mop, vacuum, or even a pressure washer. The process usually begins by sweeping"
62,cleaning gutters,"

Cleaning gutters is an action performed by humans to remove debris, leaves, and other materials from the gutters of a building. This is typically done by using a ladder to access the gutters, and then physically removing the debris by hand or with a scooping tool. It is"
63,cleaning pool,"

Cleaning a pool is an action performed by humans to remove debris, dirt, and other contaminants from the pool water. It typically involves vacuuming and brushing the pool walls and floor, backwashing the filter system, and adding chemicals to maintain a healthy balance of chlorine and pH levels."
64,cleaning shoes,"

Cleaning shoes is an action performed by humans to remove dirt, dust, and other debris from the exterior of the shoe. It is usually done using a damp cloth or brush, as well as a cleaning solution such as soap or detergent. Cleaning shoes can also involve applying a protective"
65,cleaning toilet,"

Cleaning a toilet is an action performed by humans that involves scrubbing and disinfecting the toilet bowl and surrounding surfaces to remove dirt and bacteria. This action is usually done with a toilet brush, toilet cleaner, and a cloth or sponge. It is important to clean a toilet regularly to keep"
66,cleaning windows,"

Cleaning windows is an action performed by humans to remove dirt, dust, and other debris from the window surfaces. This can be done by wiping the window down with a damp cloth, using a window cleaner, or using a vacuum cleaner with a special attachment designed for cleaning windows."
67,climbing a rope,"

Climbing a rope is an action performed by humans that involves gripping and pulling the rope with both hands and using upper body strength to ascend the rope. It requires good coordination, balance, and upper body strength. This action can be used for fitness, sport, or leisure activities."
68,climbing ladder,"

Climbing a ladder is an action performed by humans to reach higher areas. It involves placing one foot on a step and then lifting the other foot up to the same step and repeating the process. This action is often used to reach a roof, attic, or other elevated area. It"
69,climbing tree,"

Climbing a tree is an action performed by humans for a variety of reasons. It can be used as a recreational activity, to gain access to higher areas, or to perform maintenance tasks. Climbing a tree requires physical strength, agility, and balance, as well as the knowledge of"
70,contact juggling,"

Contact juggling is a type of object manipulation that focuses on the movement of objects such as balls in contact with the body. It is a form of juggling or manipulation in which the juggler maintains contact with the objects while manipulating them. Contact juggling can involve rolling, spinning, balancing, and passing"
71,cooking chicken,"

Cooking chicken is an action performed by humans that involves preparing the chicken for consumption by cleaning, seasoning, and cooking it. This can be done through a variety of methods such as baking, frying, grilling, or roasting. The chicken can be seasoned with herbs, spices, and"
72,cooking egg,"

Cooking an egg is an action performed by humans that involves cracking the egg into a pan and cooking it over heat until it reaches the desired consistency. Depending on the desired outcome, the egg can be cooked over low heat for a soft-boiled egg, or over medium-high heat"
73,cooking on campfire,"

Cooking on a campfire is an activity that has been around for centuries. It involves building a fire in a designated area, gathering and preparing ingredients, and cooking the food over the open flame. Campfire cooking is a great way to create delicious meals while enjoying the outdoors. It can"
74,cooking sausages,"

Cooking sausages involves heating them in a pan or on a grill over medium heat until they are cooked through. The sausages should be turned regularly to ensure even cooking. Once they are cooked, they can be served with a variety of accompaniments such as mashed potatoes, bread"
75,counting money,"

Counting money is an action performed by humans to determine the total amount of money they have. It involves counting each individual denomination of currency and adding them up to get the total. It is an important skill to have, as it helps people keep track of their finances and budget accordingly."
76,country line dancing,"

Country line dancing is a type of partner dance performed by two or more people in a line formation. It is a popular form of social and recreational dancing, often performed to country music. Line dancing is a fun, energetic, and social activity that involves learning a series of choreographed steps to"
77,cracking neck,"

Cracking one's neck is a self-manipulation action performed by humans to relieve tension in the neck and upper back area. It is usually done by rotating the head in a circular motion, which causes a popping or cracking sound. This maneuver is sometimes accompanied by a quick thrusting"
78,crawling baby,"

Crawling is an action performed by babies and young children as they learn to move around. It is the first step in learning how to walk, as it strengthens the muscles in the arms, legs, and torso. Crawling also helps babies to develop coordination, balance, and spatial awareness."
79,crossing river,"

Crossing a river is an action performed by humans to move from one side of a river to the other. It can be done by swimming, using a boat, or by building a bridge. Crossing a river is often necessary for transportation, trade, and exploration. It can also be done"
80,crying,"

Crying is an emotional action performed by humans in response to sadness, joy, fear, or other strong emotions. It is a natural response to pain and can be a sign of distress. Crying is often accompanied by sobbing, sniffling, and wiping of the eyes. It can"
81,curling hair,"

Curling hair is a styling technique used to create waves or curls in the hair. It is typically done with a curling iron, but can also be done with rollers, hot rollers, or with the use of products such as mousses, gels, and sprays"
82,cutting nails,"

Cutting nails is an action performed by humans to maintain the length of their nails. It usually involves using a pair of scissors or a nail clipper to trim the nails to the desired length. It is important to keep nails trimmed and clean to prevent dirt and bacteria from accumulating under them."
83,cutting pineapple,"

Cutting a pineapple is a process that involves removing the crown of the pineapple, peeling off the skin, slicing it into sections, and then cutting out the core. It is important to use a sharp knife and to be careful when cutting the pineapple as the juice can be quite sticky."
84,cutting watermelon,"

Cutting a watermelon is an action performed by humans that involves slicing the watermelon into smaller pieces. It typically involves cutting the watermelon in half, then slicing it into wedges or cubes. The watermelon can then be eaten raw, added to a salad, or used in a"
85,dancing ballet,"

Dancing ballet is an art form that combines graceful movements, intricate steps, and artistic expression. It is performed by trained dancers who use their bodies to create beautiful, intricate patterns and shapes. Ballet dancers use their feet, legs, arms, and torso to create a beautiful aesthetic. Bal"
86,dancing charleston,"

Dancing the Charleston is an energetic and lively dance that originated in the 1920s. It is performed by two people, usually a couple, and is characterized by a series of steps and movements that are performed in a quick, rhythmic manner. The dance is typically done to upbeat jazz music"
87,dancing gangnam style,"

Gangnam Style is a dance style that originated in South Korea. It involves a combination of hip-hop and pop music, and is characterized by its catchy, up-tempo beat and its signature horse-riding dance move. The move is performed by bouncing up and down on"
88,dancing macarena,"

The Macarena is a Spanish dance song that became a worldwide phenomenon in the mid-1990s. The dance involves a series of rhythmic steps, claps, and arm movements that are repeated throughout the song. The basic steps involve a side-to-side hip-sway"
89,deadlifting,"

Deadlifting is a weightlifting exercise in which a person lifts a weight off the ground from a bent-over position. It is a compound exercise that works multiple muscle groups, including the back, shoulders, arms, legs, and core. Deadlifting can help improve strength, power, and"
90,decorating the christmas tree,"

Decorating the Christmas tree is an activity that can be enjoyed by people of all ages. It usually involves stringing lights, hanging ornaments, and other decorations on a tree. This activity often marks the start of the holiday season, and it can be a fun way to get"
91,digging,"

Digging is an action performed by humans in which a person uses a tool such as a shovel, pickaxe, or spade to dig into the ground. It is often used to create a hole, trench, or foundation for structures such as buildings, roads, and bridges. Digging"
92,dining,"

Dining is an action performed by humans in which they consume food and drinks. This can be done in a variety of ways, such as sitting down to a meal at a restaurant, gathering around a table in a home, or even grabbing a snack on the go. Dining is an"
93,disc golfing,"

Disc golfing is an action performed by humans that involves throwing a disc (similar to a Frisbee) into a basket or target. Players move in a sequence around a course, throwing the disc from one target to the next, aiming to complete the course in the fewest throws."
94,diving cliff,"

Diving cliff is an action performed by humans where they jump off a cliff or other high platform into a body of water. It is a popular extreme sport and is often done for recreation or competition. The height of the cliff and the water depth below it determine the difficulty of the dive."
95,dodgeball,"

Dodgeball is a physical action game played by two teams of players. The goal of the game is to eliminate all players on the opposing team by hitting them with a ball, while avoiding being hit by the ball yourself. Dodgeball is typically played with six to eight players on each side"
96,doing aerobics,"

Aerobics is a form of physical exercise that combines rhythmic aerobic exercise with stretching and strength training routines with the goal of improving all elements of physical fitness (flexibility, muscular strength, and cardio-vascular fitness). It is usually performed to music and may be practiced in a"
97,doing laundry,"

Doing laundry is an action performed by humans to clean clothes and other fabrics. It typically involves sorting clothes into different loads, loading them into a washing machine, adding detergent and other cleaning agents, and then transferring the clothes to a dryer or line drying them. Once the clothes are"
98,doing nails,"

Doing nails is an action performed by humans to beautify and enhance the appearance of their hands and feet. It involves cleaning, trimming, and shaping the nails, as well as applying colored polish or other decorations. Doing nails can be done professionally in a salon or at home by oneself"
99,drawing,"

Drawing is an artistic medium in which a person uses a tool such as a pencil, pen, marker, or brush to create a picture or design on a surface, such as paper or canvas. Drawing is a form of expression, allowing the artist to communicate their thoughts, feelings, and"
100,dribbling basketball,"

Dribbling basketball is an action performed by a human in which the player bounces a basketball up and down on the floor using their hands. It involves controlling the ball with one hand while keeping it close to the body, alternating between the left and right hands. Dribbling is an important"
101,drinking,"

Drinking is an action performed by humans to consume liquids, typically for nourishment or pleasure. It is typically done by bringing a cup or glass to one's lips and taking a few sips. It can also be done by pouring the liquid into one's mouth from a bottle or other"
102,drinking beer,"

Drinking beer is an action performed by humans that involves the consumption of beer, which is an alcoholic beverage brewed from grains such as barley, wheat, and rye. Drinking beer is often enjoyed in social settings, and is commonly accompanied by food. Beer can be enjoyed in a variety of ways"
103,drinking shots,"

Drinking shots is an activity commonly performed in social settings. It involves quickly consuming a small amount of a beverage, such as a shot of liquor or a shot of hard liquor mixed with another liquid. Shots are often consumed with friends as part of a toast or to celebrate a special occasion."
104,driving car,"

Driving a car is an action performed by a human that involves operating a motor vehicle on a road. It requires a person to be alert and aware of their surroundings, to follow the rules of the road, to be able to make quick decisions, and to be able to safely maneuver the"
105,driving tractor,"

Driving a tractor is an action performed by a human in which they use a steering wheel and pedals to control the tractor's movements. The tractor is usually used for agricultural purposes such as plowing, tilling, and hauling. The driver must be aware of the tractor's size and"
106,drop kicking,"

Drop kicking is an action performed by humans that involves kicking a ball or object from a standing position. The kicker drops the ball or object and then quickly kicks it with the foot, usually aiming for a target or goal. It is most commonly seen in sports such as rugby, American football,"
107,drumming fingers,"

Drumming fingers is an action performed by humans in which the person rhythmically taps their fingers on a surface such as a table, desk, or other object. This action is often used to express excitement, impatience, or other emotions. It can also be used as a form of"
108,dunking basketball,"

Dunking basketball is an action performed by human athletes in which a player jumps up and quickly thrusts the ball downward through the hoop. This powerful move is usually accompanied by a loud shout and a show of force that often brings the crowd to their feet. Dunking is a popular move"
109,dying hair,"

Dying hair is a process of changing the color of one's hair by applying a special type of dye. This process is often done to cover up grey hair or to create a new look. Dying hair typically involves the application of a chemical-based dye to the strands of hair, which"
110,eating burger,"

Eating a burger is an action performed by humans that involves taking a hamburger, usually consisting of a cooked patty of ground beef or other meat, placed between two halves of a bun or roll. The person then lifts the burger to their mouth and takes a bite, chewing the pat"
111,eating cake,"

Eating cake involves taking a piece of cake, bringing it up to one's mouth, and then taking a bite. The person may then chew the cake and swallow it, before taking another bite."
112,eating carrots,"

Eating carrots is an action performed by humans that involves taking a carrot, peeling off the skin if necessary, and then biting into it or cutting it into smaller pieces to be eaten. Carrots are a nutritious vegetable that are high in fiber, Vitamin A, and antioxidants. Eating carrots"
113,eating chips,"

Eating chips involves picking up a chip from the bag, bringing it to one's mouth, and then biting down to break it into smaller pieces. The person then chews the chip and swallows it."
114,eating doughnuts,"

Eating doughnuts is an action performed by humans that involves taking a doughnut, usually one with icing or a filling, and biting into it with their teeth. The doughnut is usually chewed and then swallowed. Doughnuts can be eaten as a snack, a dessert, or part"
115,eating hotdog,"

Eating a hotdog involves picking up the hotdog with one's hands, bringing it up to the mouth, and biting into it. The person then chews the hotdog, savoring the taste of the sausage, bun, and condiments. After swallowing, the person may take"
116,eating ice cream,"

Eating ice cream is an action performed by humans that involves taking a scoop of ice cream with a spoon or other utensil and bringing it to one's mouth to savor the sweet, creamy treat."
117,eating spaghetti,"

Eating spaghetti involves picking up a fork and twirling the noodles around it, then scooping them onto the fork and lifting them to the mouth. The spaghetti is then chewed and swallowed."
118,eating watermelon,"

Eating watermelon involves cutting the fruit into slices and then lifting the slice to one's mouth, taking a bite, and savoring the sweet and juicy flavor. After swallowing, one can enjoy the seedless flesh or spit out the seeds."
119,egg hunting,"

Egg hunting, also known as Easter egg hunting, is an activity traditionally performed by children during the Easter holiday season. It involves searching for decorated eggs, often hidden in grassy areas or other outdoor settings, and collecting them. The eggs are usually decorated with brightly colored paints and/or"
120,exercising arm,"

Exercising arm is an action performed by humans to strengthen the muscles in the arms. It can involve activities such as lifting weights, using resistance bands, push-ups, and pull-ups. It can also involve activities such as stretching and yoga, which can help to improve flexibility and"
121,exercising with an exercise ball,"

Exercising with an exercise ball is a great way to increase your strength, balance, and flexibility. It can be used for a variety of exercises, such as crunches, squats, push-ups, and more. The ball helps to engage the core muscles and improve posture,"
122,extinguishing fire,"

Extinguishing fire as an action performed by humans involves using an appropriate fire extinguishing agent such as water, foam, carbon dioxide, or dry chemical powder to put out the fire. The fire extinguisher should be directed at the base of the fire and the agent should be applied in a"
123,faceplanting,"

Faceplanting is an action performed by humans where one falls forward and slams their face into the ground, usually as a result of tripping or slipping. It can also be done intentionally as a form of physical comedy."
124,feeding birds,"

Feeding birds is an action performed by humans to provide a source of nutrition and sustenance to wild birds. This can be done by placing bird feeders in gardens or other outdoor areas, or by scattering birdseed on the ground. It is a way of connecting with nature and providing a"
125,feeding fish,"

Feeding fish is an action performed by humans in which they provide food to fish in an aquarium or a body of water. This is usually done to maintain the health and well-being of the fish, and to ensure that they have enough nutrients to survive. It can also be done as"
126,feeding goats,"

Feeding goats is an action performed by humans that involves providing goats with food and water. This can include providing hay, grass, grains, and other feed, as well as providing fresh water. It is important to feed goats the right type and amount of food, as well as to provide"
127,filling eyebrows,"

Filling eyebrows is a beauty technique used to enhance the appearance of eyebrows. It involves the use of makeup products such as eyebrow pencils, powders, gels, and pomades to fill in sparse areas of the brows, create a shape, and define the arch. This"
128,finger snapping,"

Finger snapping is an action performed by humans to create a rhythmic sound. It is usually done by quickly and repeatedly pressing the thumb against the middle and index fingers of one hand. It is commonly used to keep a beat or to draw attention to oneself. Finger snapping can also be used"
129,fixing hair,"

Fixing hair is an action performed by humans to style and groom their hair. This can involve brushing, combing, blow drying, curling, straightening, cutting, coloring, and other styling techniques. It is often done to create a desired look or to maintain the health of the"
130,flipping pancake,"

Flipping pancakes is an action performed by humans that involves flipping a pancake in a pan so that the other side can be cooked. It is usually done with a spatula or a pancake flipper, and requires a bit of skill and timing. The pancake must be flipped quickly"
131,flying kite,"

Flying a kite is an action performed by humans in which a kite is lifted into the air and held in place by the wind. The kite is typically connected to a string or rope and is maneuvered by the person flying the kite. The goal is usually to keep the"
132,folding clothes,"

Folding clothes is an action performed by humans that involves neatly arranging clothing items in a way that reduces the amount of space they take up. It typically involves smoothing out fabric, aligning the edges, and tucking in extra fabric to create a compact shape. Folding clothes can help"
133,folding napkins,"

Folding napkins is an action performed by humans to create a neat and tidy presentation for a table setting. It involves taking a rectangular napkin and folding it into a triangle, square, or other shape. It can also involve folding the napkin into an intricate design. Folding nap"
134,folding paper,"

Folding paper is an action performed by humans to reduce the size of a sheet of paper or to create a specific shape. This action is often used in origami, card making, and other paper crafts. It involves making a series of creases and then pressing the paper together in a"
135,front raises,"

Front raises are an exercise performed by standing with feet shoulder-width apart and holding a weight in each hand. The arms are then raised in front of the body to shoulder height with the palms facing down. This exercise works the shoulder muscles, as well as the trapezius and the del"
136,frying vegetables,"

Frying vegetables is an action performed by humans in which vegetables are cooked in hot oil or fat over high heat. This cooking method can be used to quickly cook vegetables, resulting in a crunchy texture and a flavorful, golden-brown exterior."
137,garbage collecting,"

Garbage collecting is the action of collecting, sorting, and disposing of waste materials. It is typically done by people who are employed by local governments or waste management companies. Garbage collectors often use trucks to collect and transport waste, and they may also use special equipment to sort and separate"
138,gargling,"

Gargling is an action performed by humans to cleanse the mouth and throat. It involves rinsing the mouth with a liquid, usually water or an antiseptic solution, and making a series of loud gargling noises. Gargling is thought to help flush out bacteria and debris"
139,getting a haircut,"

Getting a haircut is an action performed by a human in which they have their hair cut and styled by a professional hairdresser. This process typically involves the use of scissors, clippers, and other styling tools to trim and shape the hair. The end result is usually a neat and"
140,getting a tattoo,"

Getting a tattoo is an action performed by humans that involves using a needle to insert ink into the skin to create a permanent design. It is often used as a form of self-expression and can range from simple designs to complex works of art. The process typically involves selecting a design, preparing"
141,giving or receiving award,"

Giving or receiving an award is an action performed by humans to recognize and reward excellence in any field. It is a way to show appreciation for someone's hard work and dedication. When someone receives an award, it is a sign that they have achieved something special and it can be a great source"
142,golf chipping,"

Golf chipping is an action performed by a golfer to hit a short shot from close to the green to the hole. It is usually done with a lofted club, such as a wedge, to get the ball up in the air and onto the green. The goal of ch"
143,golf driving,"

Golf driving is an action performed by a golfer to hit a golf ball from the teeing ground of a golf hole. It involves a golfer swinging a golf club at a golf ball with the aim of propelling the ball as far as possible down the fairway towards the green"
144,golf putting,"

Golf putting is an action performed by a golfer to hit a golf ball into the hole on a putting green. It involves using a putter to strike the ball with a smooth, pendulum stroke. Putting involves a combination of technique, practice, and skill to accurately judge the speed"
