SNo,Class Name,GPT3 discription
11,situp,"

A situp is an exercise performed by humans in which the torso is lifted from a supine position into an upright seated position. It is commonly used to strengthen the abdominal muscles, as well as the hip flexors, chest, and neck."
12,petting animal (not cat),"

Petting an animal as an action performed by a human involves gently stroking and scratching an animal with your hands. This action can be used as a form of affection and comfort for the animal, and can help build a bond between the human and the animal. Petting can also be used"
13,doing nails,"

Doing nails is an action performed by humans to groom and decorate the fingernails and toenails. This action involves filing, buffing, and shaping the nails, as well as applying a base coat, colored polish, and a top coat. It can also involve the application"
14,jetskiing,"

Jet skiing is an action sport performed by humans, typically involving a jet ski, a specially designed motorized watercraft that is ridden standing up and uses an inboard engine to propel itself and the rider over water. Jet skiing is a thrilling and exciting activity that can be enjoyed by people of"
15,doing jigsaw puzzle,"

Doing a jigsaw puzzle is an action performed by humans that involves piecing together small, interlocking pieces of a larger picture. The goal is to arrange the pieces so that the entire image is revealed. This activity requires problem-solving skills, patience, and attention to detail."
16,drop kicking,"

Drop kicking is a type of kick performed in various sports, most notably in rugby union and Australian rules football. It involves a player dropping the ball and then kicking it when it bounces off the ground. The technique is used to gain greater distance and is typically used to kick a goal or score"
17,somersaulting,"

Somersaulting is an acrobatic movement in which a person rotates their body 360 degrees, while in midair, before landing on their feet. It is commonly performed as a gymnastic exercise or for recreational purposes. During a somersault, the body is typically in a"
18,skiing slalom,"

Skiing slalom is a type of alpine skiing in which the skier navigates between poles or gates, arranged in a series of alternating left and right turns. The skier must pass through each gate in order to complete the course in the fastest time possible. Slal"
19,hurling (sport),"

Hurling is an ancient Irish sport that is played on a grass field with two teams of 15 players each. The game is played with a stick called a hurley and a small, hard ball called a sliotar. The objective of the game is to score points by hitting the sl"
20,battle rope training,"

Battle rope training is a full-body, high-intensity exercise that involves using large ropes to create resistance. The ropes can be anchored to a wall, tree, or other sturdy object, and the user will then perform a series of exercises such as slams, waves, and pulls. These"
21,extinguishing fire,"

Extinguishing fire as an action performed by humans is the process of using various methods to put out or contain a fire to prevent it from spreading and causing further damage. This may involve using fire extinguishers, water hoses, fire blankets, sand, or other materials to smother the"
22,krumping,"

Krumping is a style of dance that originated in the early 2000s in the African American community of South Central Los Angeles. It is a highly energetic, expressive, and aggressive form of hip-hop dance that involves a lot of body movement, including chest pops, arm swings, and"
23,knitting,"

Knitting is a craft that involves the interlocking of yarn or thread with two or more needles to create a fabric or garment. It is a relaxing and creative activity that can be used to make a wide variety of items such as scarves, sweaters, blankets, and hats. Kn"
24,making snowman,"

Making a snowman is a fun winter activity that can be enjoyed by people of all ages. To make a snowman, you will need three large snowballs of different sizes. Start by rolling the biggest snowball in the snow until it is the size you want for the bottom of the snow"
25,punching bag,"

A punching bag is a piece of equipment used in boxing and martial arts training. It is typically a cylindrical or pear-shaped bag filled with materials such as sand, cloth, or foam, and suspended from the ceiling or a stand. The bag is used to practice punches, kicks"
26,opening wine bottle,"

Opening a wine bottle is an action that involves removing the foil and cork from the bottle. First, the foil covering the cork must be removed with a foil cutter, or a small knife. Then, the cork must be removed. This can be done with a corkscrew"
27,flying kite,"

Flying a kite is an activity that involves throwing a kite into the air and controlling it with a string. The goal is to keep the kite in the air as long as possible, often by manipulating the string to move the kite in different directions. It is a popular activity"
28,making a cake,"

Making a cake involves several steps. First, gather the necessary ingredients, such as flour, sugar, eggs, butter, baking powder, and any desired flavorings. Next, preheat the oven to the desired temperature. Then, mix the dry ingredients together in a large bowl. In a"
29,bobsledding,"

Bobsledding is a winter sport in which a team of two or four people ride a small sled, known as a bobsled, down a frozen track. The team pushes the sled off the starting line and then jumps in, using gravity to propel the sled down the track."
30,playing violin,"

Playing the violin is an action performed by humans that involves holding the instrument in the correct position, using the bow to create sound, and pressing down the strings with the fingers. It requires a great deal of skill and practice to be able to play the violin properly, and can be a very"
31,breading or breadcrumbing,"

Breading or breadcrumbing is a cooking technique used to prepare food such as chicken, fish, or vegetables. It involves coating the food in a mixture of breadcrumbs and other ingredients such as herbs, spices, and cheese. The food is then fried, baked, or grilled."
32,throwing water balloon,"

Throwing a water balloon is an action performed by humans to cause a splash of water. It involves filling a balloon with water, gripping it with one or both hands, and throwing it at a target. The balloon bursts on impact, creating a fun and refreshing splash. Throwing water balloons"
33,hoverboarding,"

Hoverboarding is an action sport that involves riding on a self-balancing electric board, similar to a skateboard. It involves balancing on the board while it moves, using the rider's weight to control direction and speed. Hoverboarding can be used for transportation, tricks, and stunts"
34,changing wheel (not on bike),"

Changing a wheel is the process of removing an old wheel from an axle and replacing it with a new one. It involves removing the old wheel, inspecting the axle for any signs of wear or damage, and then installing the new wheel. The process may also involve adding lubricant to the axle"
35,playing accordion,"

Playing the accordion is an action performed by humans that involves pressing buttons or keys to produce musical notes. The accordion is a type of free-reed instrument, which means that when a button or key is pressed, the air is forced through a reed, producing a sound. The"
36,folding napkins,"

Folding napkins is an action performed by humans to create a neat, compact shape out of a flat napkin. It can be done in a variety of ways, such as in a square, triangle, or fan shape. Folding napkins is a popular way to make a table"
37,skydiving,"

Skydiving is an adrenaline-filled, extreme sport that involves jumping out of an aircraft at a high altitude and free-falling through the air before deploying a parachute and landing safely on the ground. It is a thrilling experience that requires skill, preparation, and courage."
38,climbing a rope,"

Climbing a rope is an action performed by humans that involves using one's arms and legs to pull oneself up a suspended rope. It requires strength, coordination, and balance, and can be used for both sport and fitness."
39,arranging flowers,"

Arranging flowers is an art form that involves the selection and placement of various types of flowers in a vase, basket, or other container. It requires creativity, knowledge of flower types, and an understanding of how the colors and shapes of the flowers can be used to create a pleasing display"
40,fencing (sport),"

Fencing is a sport in which two competitors fight with swords, also known as foils, epees, or sabres, and score points by making contact with their opponent. The sport originated in the 16th century and is now an Olympic sport. Fencing requires strategic thinking, agility"
41,fixing hair,"

Fixing hair is an action performed by humans to style and groom their hair. This can involve using a variety of tools such as combs, brushes, curling irons, flat irons, blow dryers, and hair products such as gels, mousses, and hairs"
42,scrapbooking,"

Scrapbooking is a creative art form that involves the collection and arrangement of photos, memorabilia, and other items in an album or scrapbook. It is a way to document and preserve memories, stories, and experiences. Scrapbooking can include journaling, embellishments"
43,tagging graffiti,"

Tagging graffiti is an act of vandalism performed by humans, usually with spray paint, markers, or other forms of writing materials, in which an individual or group of individuals applies a name, phrase, logo, or other type of design to a wall or other surface. This act is often"
44,scuba diving,"

Scuba diving is an underwater activity performed by a person wearing a self-contained underwater breathing apparatus (SCUBA) to explore and experience the underwater world. It involves the use of special equipment, such as a mask, fins, and a regulator, to allow the diver to breathe underwater"
45,jumping jacks,"

Jumping jacks are a type of aerobic exercise that involves jumping with the feet spread apart and the arms raised above the head. It is a full-body exercise that increases heart rate and strengthens the muscles of the arms, legs, and core. It is a popular exercise for warming up"
46,belly dancing,"

Belly dancing is a type of dance that is performed by a person, often a woman, using their torso and hips to create a sensual and captivating performance. It typically involves isolating different parts of the body, such as the hips, chest, and shoulders, and performing movements"
47,bottling,"

Bottling is the process of transferring liquid or other material from one container to another. This is typically done using a machine or by hand. When done by hand, the process involves pouring the liquid or material into the container and then sealing it with a lid or cap. Bottling is often"
48,testifying,"

Testifying is the act of providing evidence or giving testimony in a court of law or other legal proceeding. It is the process by which a witness or party to a legal case gives oral or written evidence to a court or other tribunal. Testifying involves providing answers to questions asked by the judge"
49,capsizing,"

Capsizing is an action performed by humans when a boat or other vessel is overturned in the water, usually due to the weight of the vessel or the force of the wind and waves. It can also occur due to a sudden shift in the weight of the passengers or cargo. Capsizing"
50,catching fish,"

Catching fish is an action performed by humans which involves using a fishing rod and bait to attract and capture fish from a body of water. This can be done using a variety of techniques, such as trolling, casting, jigging, or bottom fishing. Depending on the type of fish"
51,playing lute,"

Playing the lute is an action performed by humans that involves plucking the strings of a stringed instrument with a pick or plectrum. It involves the use of both hands to create a variety of rhythms and melodies. The lute is a versatile instrument, allowing for a wide range"
52,dining,"

Dining is an action performed by humans to consume food and drink. It usually involves a meal, which is typically prepared and served in a social setting, such as a restaurant, cafe, or home. Dining usually involves the use of utensils, such as plates, bowls,"
53,mowing lawn,"

Mowing lawn is an action performed by humans to keep grassy areas neat and tidy. It involves the use of a lawnmower to cut grass to a uniform height. This action is usually performed on a regular basis to keep the grass looking well-groomed."
54,high kick,"

High kick is an action performed by a human in which the leg is raised high and then thrust down in a swift, powerful motion. It is commonly used in martial arts, gymnastics, and dance. High kicks can be used as an offensive or defensive technique, and can be used to"
55,shooting goal (soccer),"

Shooting a goal in soccer is an action performed by a player to attempt to score a goal by kicking the ball into the opposing team's goal. The player must use their foot or head to direct the ball into the goal, and the ball must pass completely over the goal line for it"
56,cracking back,"

Cracking back is a physical therapy technique used to treat a variety of musculoskeletal conditions. It involves applying a sudden, short-duration force to a joint, typically in the spine, to restore proper range of motion and reduce pain. The force is applied by a trained therapist"
57,embroidering,"

Embroidering is a craft that involves creating decorative designs on fabric using a needle and thread. It is often used to embellish clothing, linens, and other fabrics with intricate patterns and designs. Embroidering is typically done by hand, but can also be done with a"
58,ironing,"

Ironing is a process of pressing clothes with a heated iron, usually with a spray of water, to remove wrinkles and create a smooth, neat appearance. It is typically done on fabrics such as cotton and linen, but can also be done on synthetic fabrics. Ironing is a common household"
59,giving or receiving award,"

Giving or receiving an award is an action performed by humans to recognize and celebrate excellence in a particular field or area of endeavor. It is a way of acknowledging and honoring the hard work, dedication, and commitment of an individual or group. Awards can come in many forms, such as medals,"
60,crawling baby,"

Crawling is an action performed by a baby as they learn to move around on their hands and knees. It is a milestone in early childhood development and usually occurs between 6 and 10 months of age. Crawling helps babies to strengthen their muscles, develop coordination, and explore their environment."
61,rope pushdown,"

Rope Pushdown is an exercise that is used to strengthen the muscles in the upper arms, shoulders, and back. It is performed by holding a rope or cable attached to a high pulley, and then pushing the rope down towards the ground while keeping the arms and shoulders engaged. This"
62,wading through water,"

Wading through water is the act of walking or moving through water that is deeper than one's ankles. It is often done to cross a body of water or to move through a shallow area. It requires the use of one's legs to propel the body forward, while using their arms to"
63,braiding hair,"

Braiding hair is a styling technique used to create complex patterns and designs in hair. It involves intertwining three or more strands of hair together to form a braid. Braiding can be done on all hair types and lengths, and can be used to create a variety of looks. It"
64,playing field hockey,"

Playing field hockey is an action performed by humans to hit a small, hard ball with a curved stick across a field. Players must work together to move the ball down the field and score goals. The game is fast-paced and requires agility, speed, and quick reflexes. Field hockey"
65,sausage making,"

Sausage making is the process of combining ground meat, fat, and seasonings to create a savory, flavorful product. The process involves grinding the meat, mixing in the spices and other ingredients, stuffing the mixture into casings, and then cooking the sausages. This process"
66,decorating the christmas tree,"

Decorating the Christmas tree is an activity that many people look forward to each year. It involves selecting a tree, setting it up, and then adorning it with lights, garlands, ornaments, and other Christmas decorations. Some people like to use a specific color scheme"
67,licking,"

Licking is an action performed by humans in which the tongue is used to moisten, touch, or taste something. It is often used to taste food or to express affection. Licking can also be used to groom oneself or another creature, such as a pet."
68,news anchoring,"

News anchoring is the process of presenting news stories and other information to an audience. It is typically done by a professional news anchor who is responsible for introducing stories, conducting interviews, and providing commentary. The news anchor must be able to communicate effectively and accurately to the audience, often in a"
69,riding mechanical bull,"

Riding a mechanical bull is an adrenaline-pumping action activity that requires skill, balance, and coordination. The rider must mount the bull, grip the handle tightly, and then attempt to stay on the moving bull for as long as possible. The rider must anticipate the bull's movements and"
70,clay pottery making,"

Clay pottery making is an ancient art form that is still practiced today. It involves the use of clay, water, and tools to shape and form a piece of pottery. The process typically begins by selecting a type of clay, such as earthenware, stoneware"
71,eating spaghetti,"

Eating spaghetti involves twirling the strands of pasta around a fork, then bringing the fork to one's mouth and carefully sliding the spaghetti off the fork and into the mouth. The spaghetti is then chewed and swallowed."
72,watching tv,"

Watching TV is an action performed by humans in which they view content from a television or streaming device. This content can include movies, TV shows, news, sports, and other programming. Watching TV is a popular pastime and can be a way for people to relax and unwind after"
73,pouring beer,"

Pouring beer is an action performed by humans in which a beverage is poured from a container, such as a bottle or can, into a glass or mug. The action requires a steady hand and a steady stream of liquid, and is often accompanied by a foamy head. Pouring beer"
74,historical reenactment,"

Historical reenactment is an activity in which individuals or groups attempt to recreate aspects of a historical event or period. It typically involves wearing clothing and using equipment from the period being reenacted, and often involves engaging in activities that were typical of the period. Reenactment"
75,kitesurfing,"

Kitesurfing is an extreme sport that combines elements of surfing, wakeboarding, windsurfing, and paragliding. It involves riding a kite-powered board across the surface of the water, using the power of the wind to propel the rider. Kitesurfing"
76,writing,"

Writing is an action performed by humans to communicate ideas, thoughts, and feelings through the use of symbols and words. It is an essential skill for communication, record-keeping, and creative expression. Writing can be done on paper, computers, or other devices. It is a process that involves"
77,feeding birds,"

Feeding birds as an action performed by humans is the practice of providing wild birds with supplementary food, such as birdseed, fruits, nuts, and other food items. It is typically done to attract birds to a particular area, provide them with a source of food, and to observe and"
78,playing bass guitar,"

Playing bass guitar is an action performed by a human using their hands and fingers to strum the strings of the guitar. The bassist typically uses a pick to pluck the strings and create a variety of different sounds. The bassist also uses their left hand to control the volume and tone"
79,hammer throw,"

Hammer throw is a track and field event where an athlete throws a heavy metal ball attached to a steel wire with a handle. The athlete stands in a throwing circle and throws the hammer as far as possible. The hammer used in the event is typically 4 kilograms (8.8 lbs)"
80,building lego,"

Building Lego is an action performed by humans that involves constructing structures and models using interlocking plastic bricks. It often requires creativity, problem-solving skills, and patience. The process usually begins by following a set of instructions, which are usually included with the Lego set. The instructions usually provide"
81,shucking oysters,"

Shucking oysters is the process of opening the shell of an oyster to access the edible meat inside. It is usually done with a shucking knife, which is a short, thin, and slightly curved blade designed specifically for the task. The technique involves inserting the knife into the oy"
82,motorcycling,"

Motorcycling is an activity performed by humans that involves riding a motorized two-wheeled vehicle. It is a popular form of transportation and recreation, and can be done on both paved and unpaved roads. Motorcycling can be a thrilling and exhilarating experience, as well as"
83,wrapping present,"

Wrapping a present involves carefully placing the gift inside of wrapping paper and securing it with tape. The person wrapping the present might use scissors to cut the wrapping paper to the desired size and shape and then use tape to secure the paper around the gift. They may also use ribbons, bows"
84,using inhaler,"

Using an inhaler is an action performed by humans to help them breathe more easily. It involves pressing down on the inhaler to release a dose of medication into the lungs, which helps to open up the airways and make it easier to breathe. The inhaler should be used as directed"
85,spray painting,"

Spray painting is a technique of applying paint to a surface using a spray gun. It is a quick and efficient way to coat a large area with a uniform layer of paint. The spray gun uses compressed air to atomize the paint and propel it onto the surface. The paint is then"
86,playing darts,"

Playing darts is an action performed by humans that involves throwing small, sharp-pointed missiles at a circular target. The target is usually a board made of cork, plastic, or other material with a number of concentric circles, typically with a central bullseye. The aim of"
87,hurdling,"

Hurdling is a track and field event in which athletes run and jump over a series of obstacles called hurdles. The hurdles are set at specific heights and distances, and the athletes must clear them in order to complete the race. Hurdling requires a combination of speed, agility, strength"
88,clam digging,"

Clam digging is an activity performed by humans in which they use a shovel or similar tool to dig for clams in the sand or mud of a beach or other shallow body of water. The goal is to uncover the shells of the clams, which can then be collected and eaten."
89,waxing back,"

Waxing back is a method of hair removal that is performed by a professional or at home. It involves spreading a warm wax mixture over the back and then quickly pulling it off, taking the hair with it. Waxing back can provide a smooth, long-lasting result, and can"
90,raising eyebrows,"

Raising eyebrows is a facial expression that is used to convey surprise, disbelief, skepticism, or confusion. It is usually done by arching the eyebrows and lifting them up towards the forehead. It can also be accompanied by a slight widening of the eyes and a slight opening of the mouth."
91,washing hair,"

Washing hair is an action performed by humans to cleanse and maintain the health of their scalp and hair. It involves wetting the hair with water, applying a shampoo or conditioner, massaging it into the scalp, and then rinsing it out. Depending on the type of"
92,busking,"

Busking is an action performed by humans in which they perform music, dance, comedy, or other forms of entertainment in public places for voluntary donations or tips from passersby. It is often done in public places such as streets, parks, or plazas, and is often associated with"
93,wading through mud,"

Wading through mud is an action performed by humans that involves walking through mud that is deep enough to require a slow, laborious effort. It is often done as a means of crossing a body of water or a muddy area, and can be a difficult and tiring task. The mud"
94,tiptoeing,"

Tiptoeing is an action performed by humans to move silently and carefully. It is usually done by standing on the balls of the feet and slowly lifting the heels off the ground while keeping the toes down. It is often used to avoid making noise or to sneak up on someone."
95,catching or throwing softball,"

Catching and throwing a softball is an action performed by humans that involves skill, coordination, and agility. When catching a softball, the player must use their hands and arms to catch the ball and absorb the force of the ball. When throwing a softball, the player must use"
96,photobombing,"

Photobombing is an action performed by a person or group of people who unexpectedly appear in the background of a photograph, usually in a humorous or silly way. It can be done deliberately or accidentally, and is generally done to surprise or amuse the photographer or the people in the photograph."
97,trimming or shaving beard,"

Trimming or shaving a beard is an action performed by humans to maintain a desired facial hair length. This can involve using scissors or clippers to trim the beard, or using a razor to shave it completely. It is a popular grooming practice for many men, and can help to create a"
98,playing volleyball,"

Playing volleyball is an action performed by two teams of two to six players on a rectangular court separated by a net. The objective of the game is for each team to send the ball over the net and have it land in the opposing team's court, and to prevent the opposing team from returning"
99,bouncing on trampoline,"

Bouncing on a trampoline is an action performed by humans for recreational purposes. It involves jumping up and down on a trampoline bed, which is usually made of a strong, flexible material such as rubber or nylon. The goal is to achieve a bouncing motion that is both fun"
100,laying concrete,"

Laying concrete is a construction process in which a layer of concrete is spread and leveled over a given area. It involves preparing the area, mixing the concrete, pouring it, and then smoothing and finishing it. Preparation of the area may involve excavation, grading, and compacting the"
101,dyeing hair,"

Dyeing hair is a common action performed by humans, typically to change the color of their hair. It involves applying a chemical dye to the hair, which penetrates the hair shaft and changes the pigment of the hair. Dyeing hair can be done at home or in a salon"
102,laying bricks,"

Laying bricks is a manual labor task that requires physical strength and precision. It involves placing individual bricks in a pattern on a surface, such as a wall or foundation, and securing them with mortar. The process requires a steady hand and attention to detail, as the bricks must be laid in"
103,dancing charleston,"

The Charleston is an energetic dance that originated in the 1920s. It is characterized by fast-paced, swinging arm movements, and a distinctive hopping step. The dance is usually performed in pairs, with one partner leading the other. The Charleston can be performed to a variety of music, from"
104,fly tying,"

Fly tying is an art form and craft that involves using a variety of materials to create realistic-looking artificial flies for use in fly fishing. It requires patience, skill, and an understanding of the materials used in order to create an effective imitation of an insect or other aquatic food source. The"
105,grinding meat,"

Grinding meat is an action performed by humans to reduce large pieces of meat into smaller pieces. This is typically done using a meat grinder, which consists of a metal plate with small holes in it and a rotating blade. The meat is placed in the grinder and the machine is turned"
106,eating cake,"

Eating cake is an action performed by humans in which they take a piece of cake and put it in their mouth, chew it, and swallow it. This action is often accompanied by a feeling of pleasure and satisfaction."
107,playing dominoes,"

Dominoes is a game played by two or more people, typically using a set of 28 tiles with each tile having two sides, each side containing 0 to 6 dots (or pips). The aim of the game is to match tiles with the same number of pips and be the"
108,finger snapping,"

Finger snapping is an action performed by humans in which the thumb and middle finger are brought together sharply to create a clicking sound. It is often used as a form of communication or accompaniment to music."
109,blowing nose,"

Blowing one's nose is an action performed by humans in which air is expelled from the nose through the nostrils. This is usually done to clear the nasal passages of mucus and other debris. It is a common practice to use a tissue or handkerchief to catch the expelled muc"
110,holding snake,"

Holding a snake can be a thrilling experience for some people. It involves carefully gripping the snake around its body, or near its head, while ensuring that the snake's tail is not pinched or restricted. It is important to be gentle and not squeeze the snake too tightly, as this"
111,getting a piercing,"

Getting a piercing is an action performed by humans in which a needle is used to puncture the skin and create a small hole in order to insert a piece of jewelry, such as a ring or stud. This process is often done in a professional piercing parlor, and the area is cleaned"
112,faceplanting,"

Faceplanting is an action performed by humans when they fall forward onto their face, usually due to a lack of balance or coordination. It is sometimes done as a joke or a stunt, but can also be the result of an accident. Faceplanting can cause minor scrapes and bruises"
113,polishing metal,"

Polishing metal is a process of smoothing and shining a metal surface by using an abrasive material and applying pressure and friction. It is typically done by hand with a cloth or pad, or by using a power tool such as a polishing wheel. The process can also involve the use"
114,flint knapping,"

Flint knapping is the process of making tools and weapons from flint and other stones by striking them with a hammerstone or other hard object. It is an ancient craft that has been practiced by humans for millennia. It involves removing small flakes of stone from a core piece of flint"
115,playing rubiks cube,"

Playing Rubik's Cube is an action performed by humans which involves manipulating a cube-shaped puzzle with the aim of restoring the cube to its original state. The cube consists of six faces, each of which is covered with nine colored squares. The goal is to rotate the faces of the cube"
116,front raises,"

Front raises are a simple, yet effective exercise that can be performed to strengthen the shoulder muscles. This exercise requires the user to stand with their feet shoulder-width apart and hold a weight in each hand with their palms facing down. The user then raises their arms out in front of them until"
117,lock picking,"

Lock picking is an action performed by a human using various tools to manipulate a lock in order to open it without the original key. It is a skill that can be used to gain access to locked items, such as doors, cabinets, safes, and more. Lock picking requires a certain"
118,using a wrench,"

Using a wrench is an action performed by humans to tighten or loosen nuts and bolts. It is a hand tool with a handle and an adjustable jaw that fits around the nut or bolt head. Wrenches are used to turn the nut or bolt and apply pressure to keep it from turning. They"
119,ironing hair,"

Ironing hair is a styling technique that involves using a heated flat iron to straighten the hair. This method of styling can be used to create smooth and sleek looks, or to create volume and texture. It is often used to add body to fine or thin hair, or to tame fri"
120,riding or walking with horse,"

Riding or walking with a horse is an action performed by humans that can be both an enjoyable and therapeutic activity. It can involve riding a horse for leisure, exercise, or competition. Riding a horse requires a strong trust and bond between the rider and the horse, and can be a great"
121,peeling potatoes,"

Peeling potatoes is an action performed by humans that involves removing the skin or outer layer of a potato. This can be done with either a knife or a vegetable peeler. The peeled potatoes can then be cooked or used in various recipes."
122,throwing snowballs,"

Throwing snowballs is an action performed by humans, usually during winter, in which a person takes a handful of snow and throws it in a certain direction. It is typically done as a form of play or recreation, and is often seen as a form of competition between two or more people"
123,making tea,"

Making tea is an action performed by humans that involves boiling water in a pot or an electric kettle, and then adding tea leaves or a tea bag to the hot water. The tea is then steeped for a few minutes before it is ready to be enjoyed. Depending on the type of tea"
124,crying,"

Crying is an emotional expression in which tears are shed in response to a strong emotion, such as sadness, joy, or frustration. It is a natural response to a wide range of feelings and can be triggered by both positive and negative experiences. Crying can also be a sign of physical"
125,casting fishing line,"

Casting a fishing line is an action performed by a human where they use a fishing rod to throw the fishing line into the water in order to catch fish. The person will usually hold the fishing rod in their dominant hand and then use their other hand to pull the line back and then fl"
126,ice fishing,"

Ice fishing is an outdoor activity in which people cut a hole in the ice on a frozen body of water and use a fishing rod to catch fish. It is usually done in cold regions of the world, such as Canada and northern parts of the United States, during the winter months. Ice"
127,trapezing,"

Trapezing is an acrobatic act performed by a person swinging from a trapeze bar. It typically involves the performer swinging from a bar and performing various aerial maneuvers such as somersaults, twists, and other stunts. Trapezing requires strength, agility, and balance,"
128,parasailing,"

Parasailing is an action sport in which a person is towed behind a boat while attached to a parachute-like canopy. The person is suspended in the air while the boat moves, allowing them to experience a unique aerial view of the surrounding area. Parasailing can be done alone or with"
129,shaking hands,"

Shaking hands is a gesture of greeting and goodwill often performed by two people when they meet. It involves two people grasping each other's right hands and shaking them up and down several times. It is a sign of respect and friendship, and is a common custom in many cultures around the world"
130,catching or throwing frisbee,"

Catching or throwing a frisbee is an action performed by humans in which a frisbee is thrown and then caught. The action requires skill and coordination, as the frisbee must be thrown accurately and then caught with two hands. It is a popular recreational activity, often played"
131,swimming butterfly stroke,"

Butterfly stroke is a swimming stroke performed by humans in which the swimmer lies face down in the water and kicks their legs up and down in a simultaneous, synchronised motion while the arms move in a windmill pattern. The swimmer's body undulates in a wave-like"
132,high jump,"

High jump is an athletic event in which a person jumps over a horizontal bar placed at a certain height. It is a track and field event in which the athlete must jump over a bar that is placed at a certain height. The goal is to jump higher than the bar without knocking it down"
133,springboard diving,"

Springboard diving is an acrobatic sport in which a diver jumps off a springboard and performs a variety of somersaults, twists, and other aerial maneuvers before entering the water. It is performed on both the 1m and 3m springboards, as well as the 10m"
134,playing poker,"

Playing poker is a game of strategy, skill, and luck that involves betting and bluffing. Players are dealt cards and then use the cards to form the best possible hand. The goal is to win the pot, which is the sum of all the bets made by the players during the hand"
135,shuffling feet,"

Shuffling feet is an action of dragging one's feet along the ground while walking. It is a common type of locomotion used by people when they are walking slowly or trying to appear nonchalant. It is also sometimes used as a form of nonverbal communication, such as when"
136,bungee jumping,"

Bungee jumping is an extreme sport in which a person jumps from a high structure (such as a bridge, crane, or hot air balloon) while connected to a large elastic cord. The jumper free falls for a short period of time before the cord recoils and the jumper is"
137,falling off chair,"

Falling off a chair is an action performed by a human when they lose their balance and fall off the chair they are sitting on. This action can be caused by a variety of factors, such as an uneven chair or surface, a lack of concentration, or an unexpected movement. It can"
138,playing tennis,"

Playing tennis is a physical sport that requires skill, strategy, and athleticism. It involves two or four players hitting a felt-covered rubber ball with rackets over a net on a rectangular court. The game is played by volleying the ball back and forth until one player fails to return"
139,smoking,"

Smoking is an action performed by humans in which a substance, usually tobacco, is burned and the smoke is inhaled and exhaled. It is commonly used as a recreational drug, and is also associated with certain rituals and traditions. Smoking is one of the leading causes of preventable death"
140,cleaning gutters,"

Cleaning gutters is an action performed by humans to remove debris such as leaves, twigs, and other material that can clog and block the drainage of rainwater from a roof. It is important to clean gutters regularly to prevent water damage to the roof, siding, and"
141,home roasting coffee,"

Home roasting coffee is an action performed by humans in which coffee beans are heated in a roasting device to produce a roasted coffee product. This process typically involves a variety of methods, such as using a hot air roaster, a drum roaster, a pan roaster, or even"
142,spinning poi,"

Spinning poi is an action performance art that originated in Polynesian culture. It involves swinging tethered weights in a circular motion around the body, while keeping the arms extended. It can be performed with either one or two poi. The poi can be made from a variety"
143,chopping meat,"

Chopping meat is an action performed by humans, usually using a sharp knife, to cut meat into smaller pieces. This can be done to prepare the meat for cooking, or to reduce the size of the meat for storage or other purposes. Chopping meat requires careful handling of the knife and"
144,brush painting,"

Brush painting is an artistic technique performed by humans, using a brush to apply paint to a surface. This technique is used to create realistic images, abstract designs, and decorative patterns. Brush painting can be used to create a variety of styles, from traditional Chinese and Japanese brush painting to modern"
145,sawing wood,"

Sawing wood is an action performed by humans using a sawing tool to cut pieces of wood into smaller pieces. It involves pushing or pulling the saw blade through the wood in a back-and-forth motion, creating a cut line in the wood. Sawing wood is a common"
